Province,DateTime,Wind,Temp
ChangMai,2020-07-13 19:00 Local,145° @ 1,24
ChangMai,2020-07-13 22:00 Local,220° @ 1,22.7
ChangMai,2020-07-14 01:00 Local,235° @ 0,22
ChangMai,2020-07-14 04:00 Local,275° @ 1,21.6
ChangMai,2020-07-14 07:00 Local,105° @ 1,22.3
ChangMai,2020-07-14 10:00 Local,170° @ 4,26.6
ChangMai,2020-07-14 13:00 Local,180° @ 7,30.4
ChangMai,2020-07-14 16:00 Local,175° @ 7,30.3
ChangMai,2020-07-14 19:00 Local,190° @ 4,25.3
ChangMai,2020-07-14 22:00 Local,165° @ 2,22.8
ChangMai,2020-07-15 01:00 Local,240° @ 3,22.2
ChangMai,2020-07-15 04:00 Local,295° @ 2,21.5
ChangMai,2020-07-15 07:00 Local,280° @ 2,22.5
ChangMai,2020-07-15 10:00 Local,175° @ 2,28.7
ChangMai,2020-07-15 13:00 Local,190° @ 3,31.7
ChangMai,2020-07-15 16:00 Local,155° @ 4,31.8
ChangMai,2020-07-15 19:00 Local,190° @ 3,26.4
ChangMai,2020-07-15 22:00 Local,165° @ 2,23.5
ChangMai,2020-07-16 01:00 Local,220° @ 2,22.8
ChangMai,2020-07-16 04:00 Local,210° @ 2,22.5
ChangMai,2020-07-16 07:00 Local,55° @ 2,23.5
ChangMai,2020-07-16 10:00 Local,250° @ 2,28.7
ChangMai,2020-07-16 13:00 Local,180° @ 4,31.8
ChangMai,2020-07-16 16:00 Local,175° @ 6,30.1
ChangMai,2020-07-16 19:00 Local,150° @ 5,25.4
ChangMai,2020-07-16 22:00 Local,150° @ 3,23.6
ChangMai,2020-07-17 01:00 Local,225° @ 2,22.7
ChangMai,2020-07-17 04:00 Local,245° @ 2,22.1
ChangMai,2020-07-17 07:00 Local,215° @ 5,23.3
ChangMai,2020-07-17 10:00 Local,160° @ 2,28.6
ChangMai,2020-07-17 13:00 Local,165° @ 5,30.9
ChangMai,2020-07-17 16:00 Local,155° @ 8,30.8
ChangMai,2020-07-17 19:00 Local,165° @ 5,26.1
ChangMai,2020-07-17 22:00 Local,175° @ 3,23.6
ChangMai,2020-07-18 01:00 Local,200° @ 2,22.8
ChangMai,2020-07-18 04:00 Local,245° @ 2,22.2
ChangMai,2020-07-18 07:00 Local,205° @ 2,23.1
ChangMai,2020-07-18 10:00 Local,185° @ 3,28.3
ChangMai,2020-07-18 13:00 Local,185° @ 3,31.6
ChangMai,2020-07-18 16:00 Local,210° @ 6,30.5
ChangMai,2020-07-18 19:00 Local,200° @ 4,25.3
ChangMai,2020-07-18 22:00 Local,195° @ 3,23.9
ChangMai,2020-07-19 01:00 Local,250° @ 3,23.3
ChangMai,2020-07-19 04:00 Local,205° @ 3,22.7
ChangMai,2020-07-19 07:00 Local,165° @ 1,23.5
ChangMai,2020-07-19 10:00 Local,225° @ 4,28
ChangMai,2020-07-19 13:00 Local,205° @ 7,30.3
ChangMai,2020-07-19 16:00 Local,195° @ 6,30.1
ChangMai,2020-07-19 19:00 Local,265° @ 4,25.7
ChangMai,2020-07-19 22:00 Local,270° @ 2,24.3
ChangMai,2020-07-20 01:00 Local,260° @ 2,23.4
ChangMai,2020-07-20 04:00 Local,270° @ 2,22.6
ChangMai,2020-07-20 07:00 Local,280° @ 1,23.5
ChangMai,2020-07-20 10:00 Local,190° @ 2,27.3
ChangMai,2020-07-20 13:00 Local,205° @ 3,30.2
ChangMai,2020-07-20 16:00 Local,50° @ 2,29.8
ChangMai,2020-07-20 19:00 Local,5° @ 1,25.8
ChangMai,2020-07-20 22:00 Local,320° @ 1,23.9
ChangMai,2020-07-21 01:00 Local,255° @ 1,22.9
ChangMai,2020-07-21 04:00 Local,330° @ 1,22.4
ChangMai,2020-07-21 07:00 Local,270° @ 0,23.6
ChangMai,2020-07-21 10:00 Local,345° @ 3,26.2
ChangMai,2020-07-21 13:00 Local,360° @ 4,25.8
ChangMai,2020-07-21 16:00 Local,360° @ 6,26.4
ChangMai,2020-07-21 19:00 Local,335° @ 3,24.3
ChangMai,2020-07-21 22:00 Local,340° @ 3,23.1
ChangMai,2020-07-22 01:00 Local,335° @ 2,22.3
ChangMai,2020-07-22 04:00 Local,320° @ 2,22
ChangMai,2020-07-22 07:00 Local,230° @ 1,22.9
ChangMai,2020-07-22 10:00 Local,195° @ 1,29.2
ChangMai,2020-07-22 13:00 Local,170° @ 4,31.6
ChangMai,2020-07-22 16:00 Local,155° @ 6,32
ChangMai,2020-07-22 19:00 Local,190° @ 3,25.3
ChangMai,2020-07-22 22:00 Local,170° @ 3,23.2
ChangMai,2020-07-23 01:00 Local,250° @ 1,22.3
ChangMai,2020-07-23 04:00 Local,260° @ 1,21.6
ChangMai,2020-07-23 07:00 Local,235° @ 2,23
ChangMai,2020-07-23 10:00 Local,180° @ 2,28.6
ChangMai,2020-07-23 13:00 Local,170° @ 5,31.7
ChangMai,2020-07-23 16:00 Local,165° @ 5,31.4
ChangMai,2020-07-23 19:00 Local,185° @ 3,26.4
ChangMai,2020-07-23 22:00 Local,165° @ 3,24.1
ChangMai,2020-07-24 01:00 Local,255° @ 1,22.8
ChangMai,2020-07-24 04:00 Local,310° @ 2,22
ChangMai,2020-07-24 07:00 Local,310° @ 1,23.4
ChangMai,2020-07-24 10:00 Local,245° @ 2,28.9
ChangMai,2020-07-24 13:00 Local,190° @ 4,33.1
ChangMai,2020-07-24 16:00 Local,175° @ 2,32.8
ChangMai,2020-07-24 19:00 Local,60° @ 1,27
ChangMai,2020-07-24 22:00 Local,175° @ 1,23.8
ChangMai,2020-07-25 01:00 Local,245° @ 2,23
ChangMai,2020-07-25 04:00 Local,345° @ 1,22.3
ChangMai,2020-07-25 07:00 Local,320° @ 3,23.4
ChangMai,2020-07-25 10:00 Local,305° @ 1,30.4
ChangMai,2020-07-25 13:00 Local,170° @ 3,33.3
ChangMai,2020-07-25 16:00 Local,165° @ 8,32.6
ChangMai,2020-07-25 19:00 Local,135° @ 3,26.9
ChangMai,2020-07-25 22:00 Local,190° @ 2,24.8
ChangMai,2020-07-26 01:00 Local,225° @ 3,23.5
ChangMai,2020-07-26 04:00 Local,285° @ 1,23
ChangMai,2020-07-26 07:00 Local,270° @ 2,24
ChangMai,2020-07-26 10:00 Local,180° @ 3,29.6
ChangMai,2020-07-26 13:00 Local,180° @ 4,33.1
ChangMai,2020-07-26 16:00 Local,185° @ 5,32.5
ChangMai,2020-07-26 19:00 Local,185° @ 3,26.6
ChangMai,2020-07-26 22:00 Local,190° @ 3,24.8
ChangMai,2020-07-27 01:00 Local,205° @ 2,23.9
ChangMai,2020-07-27 04:00 Local,300° @ 1,23.1
ChangMai,2020-07-27 07:00 Local,255° @ 3,24.2
ChangMai,2020-07-27 10:00 Local,180° @ 3,29.9
ChangMai,2020-07-27 13:00 Local,185° @ 5,32.6
ChangMai,2020-07-27 16:00 Local,140° @ 6,32.3
ChangMai,2020-07-27 19:00 Local,130° @ 3,26.4
ChangMai,2020-07-27 22:00 Local,170° @ 1,24.7
