Province,DateTime,Wind,Temp
Saraburi,2020-07-13 19:00 Local,170° @ 4,26.1
Saraburi,2020-07-13 22:00 Local,215° @ 8,24.7
Saraburi,2020-07-14 01:00 Local,175° @ 6,24.7
Saraburi,2020-07-14 04:00 Local,135° @ 5,24.9
Saraburi,2020-07-14 07:00 Local,160° @ 6,25
Saraburi,2020-07-14 10:00 Local,170° @ 10,26.2
Saraburi,2020-07-14 13:00 Local,235° @ 3,30.1
Saraburi,2020-07-14 16:00 Local,240° @ 4,29.9
Saraburi,2020-07-14 19:00 Local,180° @ 6,27.8
Saraburi,2020-07-14 22:00 Local,160° @ 7,26.3
Saraburi,2020-07-15 01:00 Local,135° @ 4,25.1
Saraburi,2020-07-15 04:00 Local,115° @ 0,24.6
Saraburi,2020-07-15 07:00 Local,160° @ 3,25.1
Saraburi,2020-07-15 10:00 Local,165° @ 3,27.1
Saraburi,2020-07-15 13:00 Local,200° @ 10,31.3
Saraburi,2020-07-15 16:00 Local,215° @ 11,32.1
Saraburi,2020-07-15 19:00 Local,180° @ 4,28.6
Saraburi,2020-07-15 22:00 Local,165° @ 7,27.1
Saraburi,2020-07-16 01:00 Local,185° @ 6,25.7
Saraburi,2020-07-16 04:00 Local,170° @ 7,25
Saraburi,2020-07-16 07:00 Local,175° @ 9,25.8
Saraburi,2020-07-16 10:00 Local,210° @ 12,29.9
Saraburi,2020-07-16 13:00 Local,190° @ 10,32.6
Saraburi,2020-07-16 16:00 Local,190° @ 12,33
Saraburi,2020-07-16 19:00 Local,220° @ 15,27.4
Saraburi,2020-07-16 22:00 Local,165° @ 7,25.7
Saraburi,2020-07-17 01:00 Local,145° @ 8,25.1
Saraburi,2020-07-17 04:00 Local,185° @ 9,24.8
Saraburi,2020-07-17 07:00 Local,220° @ 5,26
Saraburi,2020-07-17 10:00 Local,200° @ 13,30.3
Saraburi,2020-07-17 13:00 Local,185° @ 13,32.1
Saraburi,2020-07-17 16:00 Local,185° @ 13,32.5
Saraburi,2020-07-17 19:00 Local,160° @ 7,29.1
Saraburi,2020-07-17 22:00 Local,160° @ 7,27.8
Saraburi,2020-07-18 01:00 Local,175° @ 6,26.2
Saraburi,2020-07-18 04:00 Local,155° @ 5,25.4
Saraburi,2020-07-18 07:00 Local,165° @ 3,26.7
Saraburi,2020-07-18 10:00 Local,200° @ 9,31
Saraburi,2020-07-18 13:00 Local,190° @ 12,33.4
Saraburi,2020-07-18 16:00 Local,185° @ 14,33
Saraburi,2020-07-18 19:00 Local,150° @ 9,28.9
Saraburi,2020-07-18 22:00 Local,150° @ 9,27.1
Saraburi,2020-07-19 01:00 Local,200° @ 7,26.1
Saraburi,2020-07-19 04:00 Local,160° @ 7,25.4
Saraburi,2020-07-19 07:00 Local,145° @ 8,26.7
Saraburi,2020-07-19 10:00 Local,185° @ 14,31.2
Saraburi,2020-07-19 13:00 Local,195° @ 12,33.5
Saraburi,2020-07-19 16:00 Local,210° @ 9,33.6
Saraburi,2020-07-19 19:00 Local,170° @ 6,29.8
Saraburi,2020-07-19 22:00 Local,155° @ 10,28
Saraburi,2020-07-20 01:00 Local,185° @ 6,26.3
Saraburi,2020-07-20 04:00 Local,155° @ 7,25.9
Saraburi,2020-07-20 07:00 Local,145° @ 6,26.5
Saraburi,2020-07-20 10:00 Local,185° @ 12,31
Saraburi,2020-07-20 13:00 Local,200° @ 11,33.1
Saraburi,2020-07-20 16:00 Local,220° @ 4,33.5
Saraburi,2020-07-20 19:00 Local,110° @ 6,28.4
Saraburi,2020-07-20 22:00 Local,140° @ 14,27
Saraburi,2020-07-21 01:00 Local,140° @ 9,25.5
Saraburi,2020-07-21 04:00 Local,145° @ 4,25.1
Saraburi,2020-07-21 07:00 Local,115° @ 7,26.2
Saraburi,2020-07-21 10:00 Local,180° @ 10,30.1
Saraburi,2020-07-21 13:00 Local,185° @ 8,32.3
Saraburi,2020-07-21 16:00 Local,180° @ 10,31.6
Saraburi,2020-07-21 19:00 Local,180° @ 6,27.8
Saraburi,2020-07-21 22:00 Local,170° @ 4,25.8
Saraburi,2020-07-22 01:00 Local,170° @ 3,24.9
Saraburi,2020-07-22 04:00 Local,145° @ 1,24.4
Saraburi,2020-07-22 07:00 Local,160° @ 5,25.5
Saraburi,2020-07-22 10:00 Local,175° @ 11,30
Saraburi,2020-07-22 13:00 Local,200° @ 9,32.4
Saraburi,2020-07-22 16:00 Local,180° @ 11,32.8
Saraburi,2020-07-22 19:00 Local,150° @ 8,28.9
Saraburi,2020-07-22 22:00 Local,165° @ 9,26.9
Saraburi,2020-07-23 01:00 Local,145° @ 6,26
Saraburi,2020-07-23 04:00 Local,140° @ 7,25.3
Saraburi,2020-07-23 07:00 Local,150° @ 7,26.4
Saraburi,2020-07-23 10:00 Local,175° @ 10,30.8
Saraburi,2020-07-23 13:00 Local,190° @ 8,33.1
Saraburi,2020-07-23 16:00 Local,175° @ 8,33.4
Saraburi,2020-07-23 19:00 Local,160° @ 8,29.2
Saraburi,2020-07-23 22:00 Local,160° @ 8,27.6
Saraburi,2020-07-24 01:00 Local,170° @ 5,26.2
Saraburi,2020-07-24 04:00 Local,165° @ 4,25.4
Saraburi,2020-07-24 07:00 Local,135° @ 2,26.4
Saraburi,2020-07-24 10:00 Local,185° @ 7,30.1
Saraburi,2020-07-24 13:00 Local,190° @ 7,32.9
Saraburi,2020-07-24 16:00 Local,165° @ 7,32.7
Saraburi,2020-07-24 19:00 Local,150° @ 9,28.3
Saraburi,2020-07-24 22:00 Local,160° @ 8,26.8
Saraburi,2020-07-25 01:00 Local,150° @ 7,25.7
Saraburi,2020-07-25 04:00 Local,145° @ 7,25.3
Saraburi,2020-07-25 07:00 Local,105° @ 4,26.4
Saraburi,2020-07-25 10:00 Local,175° @ 4,31.1
Saraburi,2020-07-25 13:00 Local,180° @ 4,32.6
Saraburi,2020-07-25 16:00 Local,160° @ 6,31.7
Saraburi,2020-07-25 19:00 Local,150° @ 7,28.1
Saraburi,2020-07-25 22:00 Local,160° @ 9,26.5
Saraburi,2020-07-26 01:00 Local,150° @ 5,25.6
Saraburi,2020-07-26 04:00 Local,150° @ 6,25.2
Saraburi,2020-07-26 07:00 Local,160° @ 5,26.1
Saraburi,2020-07-26 10:00 Local,175° @ 13,30.5
Saraburi,2020-07-26 13:00 Local,185° @ 10,32.5
Saraburi,2020-07-26 16:00 Local,180° @ 10,33
Saraburi,2020-07-26 19:00 Local,160° @ 9,29.3
Saraburi,2020-07-26 22:00 Local,165° @ 10,27.2
Saraburi,2020-07-27 01:00 Local,155° @ 7,26
Saraburi,2020-07-27 04:00 Local,145° @ 9,25.5
Saraburi,2020-07-27 07:00 Local,150° @ 8,26.4
Saraburi,2020-07-27 10:00 Local,170° @ 15,30.5
Saraburi,2020-07-27 13:00 Local,190° @ 12,32.9
Saraburi,2020-07-27 16:00 Local,180° @ 9,32.9
Saraburi,2020-07-27 19:00 Local,140° @ 6,28.9
Saraburi,2020-07-27 22:00 Local,155° @ 9,27.3
Saraburi,2020-07-28 01:00 Local,165° @ 10,26.3
Saraburi,2020-07-28 04:00 Local,150° @ 8,25.8
Saraburi,2020-07-28 07:00 Local,135° @ 8,26.6
Saraburi,2020-07-28 10:00 Local,170° @ 12,30.5
Saraburi,2020-07-28 13:00 Local,200° @ 11,32.6
Saraburi,2020-07-28 16:00 Local,190° @ 6,33.5
Saraburi,2020-07-28 19:00 Local,145° @ 5,29.2
Saraburi,2020-07-28 22:00 Local,165° @ 9,28
Saraburi,2020-07-29 01:00 Local,150° @ 7,25.9
Saraburi,2020-07-29 04:00 Local,155° @ 7,25.2
Saraburi,2020-07-29 07:00 Local,155° @ 5,25.9
Saraburi,2020-07-29 10:00 Local,210° @ 8,29.9
Saraburi,2020-07-29 13:00 Local,260° @ 9,32.4
Saraburi,2020-07-29 16:00 Local,315° @ 8,32.3
Saraburi,2020-07-29 19:00 Local,0° @ 9,27.6
Saraburi,2020-07-29 22:00 Local,305° @ 3,26.1
Saraburi,2020-07-30 01:00 Local,120° @ 2,25.7
Saraburi,2020-07-30 04:00 Local,140° @ 2,25.3
Saraburi,2020-07-30 07:00 Local,200° @ 7,25.8
Saraburi,2020-07-30 10:00 Local,245° @ 9,29.8
Saraburi,2020-07-30 13:00 Local,250° @ 9,33
Saraburi,2020-07-30 16:00 Local,270° @ 10,33.7
Saraburi,2020-07-30 19:00 Local,215° @ 3,29.1
Saraburi,2020-07-30 22:00 Local,220° @ 6,27.4
Saraburi,2020-07-31 01:00 Local,195° @ 7,26.1
Saraburi,2020-07-31 04:00 Local,185° @ 6,25.3
Saraburi,2020-07-31 07:00 Local,190° @ 6,26.1
Saraburi,2020-07-31 10:00 Local,240° @ 10,30.4
Saraburi,2020-07-31 13:00 Local,275° @ 9,33.6
Saraburi,2020-07-31 16:00 Local,270° @ 6,33.8
Saraburi,2020-07-31 19:00 Local,170° @ 4,30.6
Saraburi,2020-07-31 22:00 Local,220° @ 10,28.2
Saraburi,2020-08-01 01:00 Local,180° @ 9,26.7
Saraburi,2020-08-01 04:00 Local,190° @ 8,26
Saraburi,2020-08-01 07:00 Local,180° @ 13,25.6
Saraburi,2020-08-01 10:00 Local,175° @ 11,25.9
Saraburi,2020-08-01 13:00 Local,185° @ 10,29.1
Saraburi,2020-08-01 16:00 Local,185° @ 16,30.4
Saraburi,2020-08-01 19:00 Local,170° @ 14,27
Saraburi,2020-08-01 22:00 Local,215° @ 15,26.3
Saraburi,2020-08-02 01:00 Local,210° @ 12,25.6
Saraburi,2020-08-02 04:00 Local,210° @ 10,25.2
Saraburi,2020-08-02 07:00 Local,180° @ 11,25
Saraburi,2020-08-02 10:00 Local,210° @ 12,25.5
Saraburi,2020-08-02 13:00 Local,215° @ 14,25.9
Saraburi,2020-08-02 16:00 Local,215° @ 15,25.8
Saraburi,2020-08-02 19:00 Local,225° @ 15,25.2
Saraburi,2020-08-02 22:00 Local,200° @ 20,24.8
Saraburi,2020-08-03 01:00 Local,195° @ 14,24.6
Saraburi,2020-08-03 04:00 Local,210° @ 20,24.4
Saraburi,2020-08-03 07:00 Local,175° @ 10,24.7
Saraburi,2020-08-03 10:00 Local,205° @ 19,27
Saraburi,2020-08-03 13:00 Local,235° @ 27,30.7
Saraburi,2020-08-03 16:00 Local,220° @ 24,29.1
Saraburi,2020-08-03 19:00 Local,180° @ 12,26.9
Saraburi,2020-08-03 22:00 Local,175° @ 14,26.1
Saraburi,2020-08-04 01:00 Local,160° @ 13,25.8
Saraburi,2020-08-04 04:00 Local,170° @ 14,25.5
Saraburi,2020-08-04 07:00 Local,170° @ 11,25.5
Saraburi,2020-08-04 10:00 Local,210° @ 21,29.6
Saraburi,2020-08-04 13:00 Local,225° @ 21,30.6
Saraburi,2020-08-04 16:00 Local,220° @ 19,29.3
Saraburi,2020-08-04 19:00 Local,175° @ 13,26
Saraburi,2020-08-04 22:00 Local,175° @ 15,25.5
Saraburi,2020-08-05 01:00 Local,185° @ 16,25.1
Saraburi,2020-08-05 04:00 Local,185° @ 18,24.7
Saraburi,2020-08-05 07:00 Local,125° @ 15,25
Saraburi,2020-08-05 10:00 Local,180° @ 12,27.1
Saraburi,2020-08-05 13:00 Local,210° @ 13,29.2
Saraburi,2020-08-05 16:00 Local,220° @ 7,26.6
Saraburi,2020-08-05 19:00 Local,215° @ 6,25.5
Saraburi,2020-08-05 22:00 Local,170° @ 4,25.4
