Province,DateTime,Wind,Temp
Rayong,2020-07-14 04:00 Local,210° @ 13,25.7
Rayong,2020-07-14 07:00 Local,255° @ 15,25.1
Rayong,2020-07-14 10:00 Local,0° @ 9,25.8
Rayong,2020-07-14 13:00 Local,260° @ 7,28.6
Rayong,2020-07-14 16:00 Local,245° @ 9,28.9
Rayong,2020-07-14 19:00 Local,255° @ 9,28.1
Rayong,2020-07-14 22:00 Local,215° @ 11,27.8
Rayong,2020-07-15 01:00 Local,220° @ 10,27.5
Rayong,2020-07-15 04:00 Local,230° @ 7,27.5
Rayong,2020-07-15 07:00 Local,225° @ 4,27.6
Rayong,2020-07-15 10:00 Local,210° @ 9,29
Rayong,2020-07-15 13:00 Local,245° @ 13,29.4
Rayong,2020-07-15 16:00 Local,250° @ 10,28.6
Rayong,2020-07-15 19:00 Local,195° @ 3,28.2
Rayong,2020-07-15 22:00 Local,180° @ 9,27.9
Rayong,2020-07-16 01:00 Local,190° @ 7,27.7
Rayong,2020-07-16 04:00 Local,200° @ 7,27.5
Rayong,2020-07-16 07:00 Local,235° @ 5,27.8
Rayong,2020-07-16 10:00 Local,295° @ 3,29.3
Rayong,2020-07-16 13:00 Local,330° @ 2,29.1
Rayong,2020-07-16 16:00 Local,195° @ 6,29.2
Rayong,2020-07-16 19:00 Local,220° @ 6,28.4
Rayong,2020-07-16 22:00 Local,210° @ 8,28
Rayong,2020-07-17 01:00 Local,185° @ 9,27.8
Rayong,2020-07-17 04:00 Local,205° @ 10,27.5
Rayong,2020-07-17 07:00 Local,230° @ 9,27.9
Rayong,2020-07-17 10:00 Local,235° @ 11,29.3
Rayong,2020-07-17 13:00 Local,215° @ 9,29.9
Rayong,2020-07-17 16:00 Local,190° @ 12,29.8
Rayong,2020-07-17 19:00 Local,180° @ 12,28.6
Rayong,2020-07-17 22:00 Local,180° @ 13,28.1
Rayong,2020-07-18 01:00 Local,155° @ 9,28
Rayong,2020-07-18 04:00 Local,175° @ 9,27.7
Rayong,2020-07-18 07:00 Local,180° @ 5,28.3
Rayong,2020-07-18 10:00 Local,175° @ 10,29.8
Rayong,2020-07-18 13:00 Local,190° @ 13,30.5
Rayong,2020-07-18 16:00 Local,185° @ 12,30.5
Rayong,2020-07-18 19:00 Local,170° @ 12,28.9
Rayong,2020-07-18 22:00 Local,165° @ 11,28.4
Rayong,2020-07-19 01:00 Local,175° @ 12,28.3
Rayong,2020-07-19 04:00 Local,195° @ 12,28.1
Rayong,2020-07-19 07:00 Local,185° @ 12,28.6
Rayong,2020-07-19 10:00 Local,190° @ 15,29.9
Rayong,2020-07-19 13:00 Local,205° @ 15,30.6
Rayong,2020-07-19 16:00 Local,205° @ 15,30.2
Rayong,2020-07-19 19:00 Local,185° @ 13,28.9
Rayong,2020-07-19 22:00 Local,185° @ 12,28.5
Rayong,2020-07-20 01:00 Local,185° @ 12,28.4
Rayong,2020-07-20 04:00 Local,175° @ 14,27.9
Rayong,2020-07-20 07:00 Local,190° @ 14,28.7
Rayong,2020-07-20 10:00 Local,225° @ 14,29.9
Rayong,2020-07-20 13:00 Local,210° @ 11,30.5
Rayong,2020-07-20 16:00 Local,195° @ 13,30.2
Rayong,2020-07-20 19:00 Local,165° @ 14,28.7
Rayong,2020-07-20 22:00 Local,150° @ 17,28
Rayong,2020-07-21 01:00 Local,145° @ 12,27.7
Rayong,2020-07-21 04:00 Local,145° @ 13,27.6
Rayong,2020-07-21 07:00 Local,135° @ 9,28.1
Rayong,2020-07-21 10:00 Local,125° @ 10,28.9
Rayong,2020-07-21 13:00 Local,175° @ 12,30.1
Rayong,2020-07-21 16:00 Local,195° @ 13,29.6
Rayong,2020-07-21 19:00 Local,185° @ 11,28.6
Rayong,2020-07-21 22:00 Local,180° @ 11,28.3
Rayong,2020-07-22 01:00 Local,200° @ 5,28
Rayong,2020-07-22 04:00 Local,175° @ 5,27.6
Rayong,2020-07-22 07:00 Local,160° @ 6,28.3
Rayong,2020-07-22 10:00 Local,135° @ 12,29.5
Rayong,2020-07-22 13:00 Local,165° @ 11,29.9
Rayong,2020-07-22 16:00 Local,160° @ 14,29.4
Rayong,2020-07-22 19:00 Local,175° @ 9,28.5
Rayong,2020-07-22 22:00 Local,175° @ 11,28.1
Rayong,2020-07-23 01:00 Local,165° @ 10,27.8
Rayong,2020-07-23 04:00 Local,165° @ 14,27.4
Rayong,2020-07-23 07:00 Local,190° @ 8,28.1
Rayong,2020-07-23 10:00 Local,170° @ 8,29.7
Rayong,2020-07-23 13:00 Local,180° @ 13,30.3
Rayong,2020-07-23 16:00 Local,185° @ 12,30
Rayong,2020-07-23 19:00 Local,185° @ 11,28.7
Rayong,2020-07-23 22:00 Local,190° @ 12,28.2
Rayong,2020-07-24 01:00 Local,180° @ 10,27.9
Rayong,2020-07-24 04:00 Local,180° @ 10,27.7
Rayong,2020-07-24 07:00 Local,185° @ 10,27.3
Rayong,2020-07-24 10:00 Local,160° @ 15,28
Rayong,2020-07-24 13:00 Local,185° @ 12,29.3
Rayong,2020-07-24 16:00 Local,190° @ 8,28.4
Rayong,2020-07-24 19:00 Local,160° @ 6,27.6
Rayong,2020-07-24 22:00 Local,155° @ 11,27.6
Rayong,2020-07-25 01:00 Local,155° @ 10,27.7
Rayong,2020-07-25 04:00 Local,165° @ 9,27.3
Rayong,2020-07-25 07:00 Local,155° @ 7,27.6
Rayong,2020-07-25 10:00 Local,170° @ 6,28.5
Rayong,2020-07-25 13:00 Local,190° @ 11,30.3
Rayong,2020-07-25 16:00 Local,190° @ 14,30.1
Rayong,2020-07-25 19:00 Local,190° @ 10,28.6
Rayong,2020-07-25 22:00 Local,170° @ 10,28.2
Rayong,2020-07-26 01:00 Local,160° @ 9,27.8
Rayong,2020-07-26 04:00 Local,165° @ 11,27.8
Rayong,2020-07-26 07:00 Local,180° @ 11,28.2
Rayong,2020-07-26 10:00 Local,200° @ 11,29.8
Rayong,2020-07-26 13:00 Local,205° @ 9,30.2
Rayong,2020-07-26 16:00 Local,180° @ 16,30.2
Rayong,2020-07-26 19:00 Local,180° @ 13,28.8
Rayong,2020-07-26 22:00 Local,180° @ 14,28.5
Rayong,2020-07-27 01:00 Local,195° @ 12,28.2
Rayong,2020-07-27 04:00 Local,195° @ 9,27.8
Rayong,2020-07-27 07:00 Local,190° @ 11,28.5
Rayong,2020-07-27 10:00 Local,200° @ 15,30
Rayong,2020-07-27 13:00 Local,215° @ 12,30.6
Rayong,2020-07-27 16:00 Local,200° @ 14,30.2
Rayong,2020-07-27 19:00 Local,185° @ 15,28.8
Rayong,2020-07-27 22:00 Local,180° @ 16,28.4
Rayong,2020-07-28 01:00 Local,210° @ 13,28.3
Rayong,2020-07-28 04:00 Local,215° @ 13,28.2
Rayong,2020-07-28 07:00 Local,185° @ 11,28.6
Rayong,2020-07-28 10:00 Local,210° @ 10,30.2
Rayong,2020-07-28 13:00 Local,230° @ 14,30.6
Rayong,2020-07-28 16:00 Local,215° @ 12,30.2
Rayong,2020-07-28 19:00 Local,200° @ 13,28.8
Rayong,2020-07-28 22:00 Local,200° @ 15,28.6
Rayong,2020-07-29 01:00 Local,210° @ 12,28.3
Rayong,2020-07-29 04:00 Local,225° @ 11,28
Rayong,2020-07-29 07:00 Local,270° @ 12,28.5
Rayong,2020-07-29 10:00 Local,290° @ 11,30.2
Rayong,2020-07-29 13:00 Local,270° @ 15,30.8
Rayong,2020-07-29 16:00 Local,265° @ 17,30.4
Rayong,2020-07-29 19:00 Local,245° @ 16,29
Rayong,2020-07-29 22:00 Local,270° @ 24,28.7
Rayong,2020-07-30 01:00 Local,270° @ 16,28.5
Rayong,2020-07-30 04:00 Local,255° @ 18,27.8
Rayong,2020-07-30 07:00 Local,270° @ 12,27.8
Rayong,2020-07-30 10:00 Local,265° @ 20,29.3
Rayong,2020-07-30 13:00 Local,260° @ 20,29.7
Rayong,2020-07-30 16:00 Local,260° @ 22,30.2
Rayong,2020-07-30 19:00 Local,240° @ 15,29.1
Rayong,2020-07-30 22:00 Local,255° @ 25,28.9
Rayong,2020-07-31 01:00 Local,260° @ 24,28.3
Rayong,2020-07-31 04:00 Local,255° @ 22,28
Rayong,2020-07-31 07:00 Local,265° @ 19,28.4
Rayong,2020-07-31 10:00 Local,265° @ 21,29.7
Rayong,2020-07-31 13:00 Local,255° @ 24,30.3
Rayong,2020-07-31 16:00 Local,245° @ 23,30.1
Rayong,2020-07-31 19:00 Local,225° @ 21,29.2
Rayong,2020-07-31 22:00 Local,245° @ 33,28.8
Rayong,2020-08-01 01:00 Local,250° @ 32,28
Rayong,2020-08-01 04:00 Local,255° @ 27,27.7
Rayong,2020-08-01 07:00 Local,250° @ 21,27.9
Rayong,2020-08-01 10:00 Local,245° @ 28,28.6
Rayong,2020-08-01 13:00 Local,245° @ 28,28.7
Rayong,2020-08-01 16:00 Local,245° @ 30,29.1
Rayong,2020-08-01 19:00 Local,245° @ 28,28.5
Rayong,2020-08-01 22:00 Local,250° @ 38,28.3
Rayong,2020-08-02 01:00 Local,255° @ 33,28.1
Rayong,2020-08-02 04:00 Local,255° @ 38,28.2
Rayong,2020-08-02 07:00 Local,250° @ 36,28
Rayong,2020-08-02 10:00 Local,245° @ 43,27.6
